id	desc
a10047	BENZOPHENONE; LANOLIN TOPICAL; MINERAL OIL; PEG-4 DILAURATE
a10049	BENZYL ALCOHOL; DIMETHICONE; PETROLATUM TOPICAL
a10050	BENZYL ALCOHOL; MENTHOL; PEPPERMINT
a10051	BENZYL ALCOHOL; SOYBEAN OIL; STARCH TOPICAL
a10061	BILE SALTS; PANCREATIN; PEPSIN
a10064	BIOTIN; FOLIC ACID; IRON PREPARATIONS; MULTIVITAMIN
a10067	ASCORBIC ACID; BIOTIN; FOLIC ACID; VITAMIN B COMPLEX; ZINC ACETATE
a10068	ASCORBIC ACID; BIOTIN; VITAMIN B COMPLEX
a10069	ACETYLCYSTEINE; ALPHA LIPOIC ACID; BIOTIN; CHROMIUM CHLORIDE; THIAMINE
a10083	BALSAM PERU TOPICAL; BENZOCAINE TOPICAL; BISMUTH ANTIDIARRHEA; RESORCINOL TOPICAL
a10090	BISMUTH ANTIDIARRHEA; KAOLIN; PECTIN
a10096	ASPIRIN-BUFFERS
a10099	CALCIUM REPLACEMENT; DEXTROSE; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM CHLORIDE
a10102	ASCORBIC ACID; CALCIUM REPLACEMENT; IRON PREPARATIONS; PYRIDOXINE; VITAMIN A
a10110	CALCIUM REPLACEMENT; MAGNESIUM CHLORIDE; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM CHLORIDE
a10111	CALCIUM REPLACEMENT-SODIUM FLUORIDE
a10114	CALCIUM REPLACEMENT; ERGOCALCIFEROL; PHOSPHORUS
a10119	BREWER'S YEAST; CALCIUM REPLACEMENT; ERGOCALCIFEROL; THIAMINE; VITAMIN A
a10124	CALCIUM REPLACEMENT-SODIUM PROPIONATE
a10125	CALCIUM REPLACEMENT-ERGOCALCIFEROL
a10127	CALCIUM REPLACEMENT-CHOLECALCIFEROL
a10130	CALCIUM IODIDEISOPROTERENOL
a10132	CALCIUM ION; CHLORIDE ION; DEXTROSE; MAGNESIUM ION; SODIUM ION
a10133	CALCIUM ION; CHLORIDE ION; MAGNESIUM ANTACIDS; POTASSIUM ION; SODIUM ION
a10135	CALCIUM ION; CHLORIDE ION; POTASSIUM ION; SODIUM ACETATE; SODIUM ION
a10136	CALCIUM ION; CHOLECALCIFEROL; IRON PREPARATIONS; VITAMIN A; VITAMIN B COMPLEX
a10137	CALCIUM ION; CHOLECALCIFEROL; IRON PREPARATIONS; MULTIVITAMIN; VITAMIN A
a10138	CALCIUM ION; IRON PREPARATIONS; MULTIVITAMIN
a10140	CALCIUM ION; MAGNESIUM CHLORIDE; POTASSIUM ION; SODIUM CHLORIDE
a10143	CALCIUM PANTOTHENATE; NIACIN; PYRIDOXINE; RIBOFLAVIN; THIMEROSAL
a10147	CALCIUM PANTOTHENATE; NIACIN; PYRIDOXINE; RIBOFLAVIN; THIAMINE
a10150	CANTHARIDIN; PODOPHYLLUM RESIN TOPICAL; SALICYLIC ACID TOPICAL
a10155	CARMELLOSE; GELATIN; MINERAL OIL; PECTIN
a10156	ALGINIC ACID; BORIC ACID TOPICAL; CARMELLOSE; GLYCERIN TOPICAL; PROPYLENE GLYCOL
a10158	CARMELLOSE; CASANTHRANOL; DOCUSATE
a10159	CASEIN; COCONUT OIL; CORN OIL; MULTIVITAMIN; SUCROSE
a10160	CASEIN; COCONUT OIL; MAGNESIUM AMINO ACIDS CHELATE; SUCROSE; TAPIOCA
a10162	CASEIN; CORN OIL; LECITHIN; MULTIVITAMIN; SODIUM ION
a10163	CASEIN; MULTIVITAMIN; SAFFLOWER OIL; SOYBEAN OIL; SUCROSE
a10164	CAMPHOR TOPICAL; CEDAR LEAF OIL; EUCALYPTUS OIL; MENTHOL; NUTMEG OIL
a10166	CERESIN WAX; MINERAL OIL; PETROLATUM TOPICAL; WOOLWAX ALCOHOL
a10172	CETEARETH; PETROLATUM TOPICAL; PROPYLENE GLYCOL; SORBITOL
a10174	CETEARETH; CETOSTEARYL ALCOHOL; METHYL PARABEN; MINERAL OIL; PETROLATUM TOPICAL
a10176	AMMONIUM LACTATE TOPICAL; CETYL ALCOHOL; GLYCERYL; MINERAL OIL; PARABENS
a10179	CETYL ALCOHOL; PROPYLENE GLYCOL; SODIUM LAURYL SULFATE; STEARYL ALCOHOL
a10182	ALOE VERA TOPICAL; CETYL ALCOHOL; GLYCERIN TOPICAL; SAFFLOWER OIL; STEARYL ALCOHOL
a10185	CETYL ALCOHOL-GLYCERIN TOPICAL
a10192	CHLORIDE ION; POTASSIUM CITRATE; SODIUM ION
a10194	CHLOROBUTANOL; EPINEPHRINE; SODIUM BISULFITE; SODIUM CHLORIDE
a10207	CINOXATE; GLYCERYL; METHYL ANTHRANILATE; MINERAL OIL; SORBITOL
a10208	CINOXATE; MINERAL OIL; OXYBENZONE; TRETINOIN TOPICAL
a10217	COCOA BUTTER; PARABENS; ZINC TOPICAL AGENTS, EXTERNAL USE
a10227	CAJEPUT; COTTONSEED OIL; EUCALYPTUS OIL; PEPPERMINT; PINE OIL
a10232	DEOXYCHOLIC ACID; OX BILE EXTRACT; PANCREATIN
a10242	DEXTROSE; FRUCTOSE; PHOSPHORIC ACID
a10243	DEXTROSE; FRUCTOSE; ORTHOPHOSPHORIC ACID
a10244	DEXTROSE; MAGNESIUM ACETATE; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM CHLORIDE
a10245	DEXTROSE-POTASSIUM REPLACEMENT SOLUTIONS
a10246	DEXTROSE; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM CHLORIDE; SODIUM CITRATE
a10249	DEXTROSE-RINGERS LACTATED
a10252	DEXTROSE-NORMAL SALINE
a10253	DEXTROSE-LACTATED RINGERS
a10254	DEXTROSE; LACTATED RINGERS; POTASSIUM CHLORIDE
a10255	DEXTROSE-NUTRITIONAL PRODUCTS
a10263	DEXTROSENITROGLYCERIN
a10264	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
a10266	DEXTROSE; POTASSIUM CHLORIDE; STERILE WATER
a10267	DEXTROSE-SODIUM CHLORIDE
a10268	DEXTROSE; SODIUM CHLORIDE; THIAMINE
a10279	DEXTROSE-STERILE WATER
a10281	BETAINE; DIASTASE; OX BILE EXTRACT; PANCREATIN; PAPAIN TOPICAL
a10285	DIMETHICONE; GLYCERIN; METHYLPARABEN; PETROLATUM TOPICAL
a10289	ALOE VERA TOPICAL; DIMETHICONE; ETHANOL; GLYCERIN TOPICAL; MICONAZOLE TOPICAL
a10290	ALOE VERA TOPICAL; DIMETHICONE; ETHANOL; GLYCERIN TOPICAL; PETROLATUM TOPICAL
a10292	DIMETHICONEHYDROCORTISONE TOPICAL
a10299	ELECTROLYTESMINERALS
a10300	ASCORBIC ACID; ELECTROLYTES; MINERALS; VITAMIN B COMPLEX
a10301	ELECTROLYTES-RICE
a10303	ELECTROLYTESMAGNESIUM AMINO ACIDS CHELATE
a10304	ELECTROLYTES-POLYETHYLENE GLYCOL 3350
a10312	ETHANOL; EUCALYPTUS OIL; MENTHOL TOPICAL; METHYL SALICYLATE TOPICAL; THYMOL
a10313	BENZOIN TOPICAL; CAMPHOR TOPICAL; EUCALYPTUS OIL; MENTHOL TOPICAL; THYMOL
a10318	EUCALYPTUS OIL; MENTHOL TOPICAL; PHENOL TOPICAL; SALICYLIC ACID TOPICAL; ZINC SULFATE
a10319	CAMPHOR TOPICAL; CLOVE; EUCALYPTUS OIL; MENTHOL TOPICAL; PHENOL TOPICAL
a10329	FOOD SUPPLEMENT; MINERALS; MULTIVITAMIN
a10336	CALCIUM CARBONATE; CITRIC ACID; GLUCONIC ACID; MAGNESIUM CARBONATE; MAGNESIUM CITRATE
a10337	GLYCERYL; LANOLIN TOPICAL; MINERAL OIL; PROPYLENE GLYCOL
a10338	GLYCINE-IMMUNE GLOBULIN INTRAMUSCULAR
a10340	FENNEL; GLYCYRRHIZA; SENNA; SUCROSE; SULFUR TOPICAL
a10346	GLYCERIN TOPICALHAMAMELIS WATER
a10356	ASCORBIC ACID; CYANOCOBALAMIN; FOLIC ACID; INTRINSIC FACTOR; IRON PREPARATIONS
a10362	HYDROCORTISONE TOPICAL; IODOCHLORHYDROXYQUIN; PRAMOXINE TOPICAL
a10363	HYDROCORTISONE TOPICAL-IODOCHLORHYDROXYQUIN
a10366	IRON PREPARATIONS; MINERALS; MULTIVITAMIN
a10369	IRON PREPARATIONS; NIACIN; PANTOTHENIC ACID; RIBOFLAVIN; THIAMINE
a10379	IRON PREPARATIONSVITAMIN B COMPLEX
a10383	IRON PREPARATIONS -VITAMINS
a10385	ETHINYL ESTRADIOL; IRON PREPARATIONS; NORETHINDRONE
a10386	FOLIC ACID-IRON PREPARATIONS
a10387	CALCIUM CARBONATE; FOLIC ACID; IRON PREPARATIONS; MULTIVITAMIN; NIACIN
a10388	ASCORBIC ACID; FOLIC ACID; IRON PREPARATIONS; PYRIDOXINE; VITAMIN A
a10391	CYANOCOBALAMIN; FOLIC ACID; IRON PREPARATIONS
a10392	ASCORBIC ACID; CYANOCOBALAMIN; FOLIC ACID; IRON PREPARATIONS
a10394	ASCORBIC ACID; CYANOCOBALAMIN; FOLIC ACID; IRON PREPARATIONS; LIVER DERIVATIVE COMPLEX
a10396	CYANOCOBALAMIN; FOLIC ACID; IRON PREPARATIONS; LIVER DERIVATIVE COMPLEX
a10398	ASCORBIC ACID; FOLIC ACID; IRON PREPARATIONS
a10399	FOLIC ACID; IRON PREPARATIONS; MULTIVITAMIN
a10402	IRON PREPARATIONS; NIACIN; PYRIDOXINE; RIBOFLAVIN
a10405	IRON PREPARATIONS; NIACIN; PYRIDOXINE; RIBOFLAVIN; THIAMINE
a10406	CYANOCOBALAMIN; IRON PREPARATIONS; NIACIN; RIBOFLAVIN
a10414	ASCORBIC ACID; CHOLECALCIFEROL; IRON PREPARATIONS; VITAMIN A; VITAMIN E
a10419	ASCORBIC ACID; ERGOCALCIFEROL; IRON PREPARATIONS; VITAMIN A
a10421	CYANOCOBALAMIN; IRON PREPARATIONS; PYRIDOXINE; RIBOFLAVIN; THIAMINE
a10423	ASCORBIC ACID; CYANOCOBALAMIN; IRON PREPARATIONS; RIBOFLAVIN
a10425	CYANOCOBALAMIN; IRON PREPARATIONS; LIVER DERIVATIVE COMPLEX; RIBOFLAVIN; THIAMINE
a10426	ASCORBIC ACID; IRON PREPARATIONS; MULTIVITAMIN; RIBOFLAVIN; THIAMINE
a10432	CYANOCOBALAMIN; IRON PREPARATIONS; THIAMINE
a10435	ASCORBIC ACID-IRON PREPARATIONS
a10436	ASCORBIC ACID; DOCUSATE; IRON PREPARATIONS
a10438	FLUORIDE; IRON PREPARATIONS; MULTIVITAMIN
a10439	DOCUSATE-IRON PREPARATIONS
a10442	IRON PREPARATIONS-MULTIVITAMIN
a10443	BREWER'S YEAST-IRON PREPARATIONS
a10450	JUNIPER; RESORCINOL TOPICAL; SULFUR TOPICAL; THYMOL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10452	LACTOSE-NORETHINDRONE
a10453	LACTOSE-MOMETASONE NASAL
a10454	EPLERENONE-LACTOSE
a10455	LACTOSE-TROSPIUM
a10456	LEMON OIL; MENTHOL; PEPPERMINT; THYME
a10458	LINOLENIC ACID; PHENYLALANINE; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM ACETATE; TRYPTOPHAN
a10459	CALCIUM ACETATE; MAGNESIUM ACETATE; PASSION FLOWER POWER; VALERIAN
a10460	MAGNESIUM ANTACIDS; STARCH TOPICAL; TALC
a10462	ACETAMINOPHEN; ALUMINUM HYDROXIDE; ASPIRIN; CAFFEINE; MAGNESIUM ANTACIDS
a10463	ALUMINUM HYDROXIDE; DIPHENHYDRAMINE TOPICAL; LIDOCAINE; MAGNESIUM ANTACIDS
a10464	ASPIRIN; CALCIUM CARBONATE; MAGNESIUM ANTACIDS
a10465	ALUMINUM HYDROXIDE; ASPIRIN; MAGNESIUM ANTACIDS
a10466	ATROPINE; MAGNESIUM ANTACIDS; PHENOBARBITAL
a10471	CALCIUM CARBONATE-MAGNESIUM ANTACIDS
a10472	ALUMINUM HYDROXIDE; CALCIUM CARBONATE; MAGNESIUM ANTACIDS
a10474	ALUMINUM HYDROXIDE-MAGNESIUM ANTACIDS
a10475	ALUMINUM HYDROXIDE; MAGNESIUM ANTACIDS; SIMETHICONE
a10482	GUAIFENESIN; MENTHOL; PARABENS; PHENYLALANINE
a10490	CAMPHOR TOPICALMENTHOL
a10499	ACRYLATE COPOLYMER; CARBOMER 940; METHYLPARABEN; PROPYLENE GLYCOL
a10500	ALLANTOIN TOPICAL; ALLIUM CEPA; METHYLPARABEN; POLYETHYLENE GLYCOL 3350; SORBIC ACID
a10502	GLYCERIN TOPICAL; METHYLPARABEN; MINERAL OIL; STERILE WATER
a10504	LANOLIN TOPICAL; METHYLPARABEN; MULTIVITAMIN; PETROLATUM TOPICAL; ZINC OXIDE TOPICAL
a10511	MINERALS-VITAMINS
a10512	LECITHIN; MINERALS; SOY PROTEIN; VITAMINS; WATER
a10519	MALTODEXTRIN; MINERALS; MULTIVITAMIN; WATER; WHEY PROTEIN ISOLATE
a10520	LECITHIN; MALTODEXTRIN; MINERALS; MULTIVITAMIN; WATER
a10521	LECITHIN; MINERALS; SODIUM CASEINATE; WATER
a10522	MINERALS; MULTIVITAMIN; SOY FIBER; SOY PROTEIN
a10526	ASCORBIC ACID; FOLIC ACID; MINERALS; VITAMIN A; VITAMIN E
a10529	MINERALS; MULTIVITAMIN; PYRIDOXINE; RIBOFLAVIN
a10530	MINERALS-MULTIVITAMIN
a10531	MINERALS; DIGESTIVE ENZYMES; LECITHIN; MULTIVITAMIN
a10533	CAMPHOR TOPICAL; ISOPROPYL ALCOHOL TOPICAL; MENTHOL TOPICAL; METHYL SALICYLATE TOPICAL; MUSTARD OIL
a10537	BENZOCAINE TOPICAL; NUTMEG OIL; PETROLATUM TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10543	ALOE VERA TOPICAL; CALENDULA; OLIVE OIL; OREGON GRAPE
a10547	GLYCERIN TOPICAL; LACTIC ACID TOPICAL; OLEIC ACID; PROPYLENE GLYCOL
a10548	CALCIUM CASEINATE; DIGLYCERIDE; MONOGLYCERIDE; OLEIC ACID; ZINC SULFATE
a10563	BENZOCAINE TOPICAL; MENTHOL TOPICAL; OXYQUINOLONE; ZINC TOPICAL AGENTS, EXTERNAL USE
a10566	BUTYL METHOXYDIBEZOYL METHANEPADIMATE O
a10571	ASCORBIC ACID; PANTHENOL; VITAMIN B COMPLEX
a10575	GREEN TEA; PANTOTHENIC ACID; VITAMINS
a10577	NIACIN; PANTOTHENIC ACID; PYRIDOXINE; RIBOFLAVIN
a10579	NIACIN; PANTOTHENIC ACID; PYRIDOXINE; RIBOFLAVIN; THIAMINE
a10582	BENZALKONIUM CHLORIDE TOPICAL; HYDROCORTISONE TOPICAL; PARACHOLOROME TAXYLENOL; PRAMOXINE TOPICAL
a10583	GLYCERIN TOPICAL; MINERAL OIL; PARAFFIN; PETROLATUM TOPICAL; WOOL ALCOHOLS
a10585	METHYCLOTHIAZIDE-PARGYLINE
a10588	MINERAL OIL-PEANUT OIL
a10597	DIMENHYDRINATE; NIACIN; PENTYLENETETRAZOL
a10603	ASPIRIN; CAFFEINE; CODEINE; PHENACETIN
a10609	ASPIRIN; CAFFEINE; PHENACETIN; PHENOBARBITAL
a10611	ASPIRIN; CAFFEINE; PHENACETIN
a10612	ASPIRIN; CAFFEINE; CAMPHOR TOPICAL; OPIUM; PHENACETIN
a10614	ASPIRIN; BUTALBITAL; CAFFEINE; PHENACETIN
a10619	ALUMINUM HYDROXIDE; PHENACETIN; PHENIRAMINE; PHENYLEPHRINE; SALICYLAMIDE
a10623	ASPARTAME; MANNITOL; NICOTINE; PHENYLALANINE
a10625	LIVE YEAST CELL; PHENYLMERCURIC NITRATE; SHARK LIVER OIL
a10627	ALTEPLASE; ARGININE; PHOSPHORIC ACID; POLYSORBATE
a10638	PHOSPHORUS; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM CHLORIDE
a10640	POTASSIUM REPLACEMENT SOLUTIONS-SODIUM CHLORIDE
a10642	BENZALKONIUM CHLORIDE TOPICAL; EDETATE DISODIUM; HYDROXYPROPYL METHYLCELLULOSE OPHTHALMIC; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM CHLORIDE
a10644	METHYLCELLULOSE; OCULAR LUBRICANT; POTASSIUM REPLACEMENT SOLUTIONS; SODIUM CHLORIDE
a10648	IODINE-POTASSIUM REPLACEMENT SOLUTIONS
a10649	GLYCERIN TOPICAL; GLYCOLIC ACID; POTASSIUM HYDROXIDE; STEARIC ACID
a10651	POTASSIUM ION-SODIUM CHLORIDE
a10655	POTASSIUM ACIDIFYING-SODIUM ACID PHOSPHATE
a10659	MINERAL SPIRITS; OCTYLPHENOXY-POLYETHOXYETHANO; POLYETHYLENE GLYCOL 3350; PROPYLENE GLYCOL; SOAP
a10660	ISOPROPYL ALCOHOL TOPICAL; PROPYLENE GLYCOL; SODIUM LAURYL SULFATE; SORBITOL; STEARYL ALCOHOL
a10664	HP GUAR; POLYETHYLENE GLYCOL 3350; PROPYLENE GLYCOL; SODIUM BORATE TOPICAL
a10668	BORIC ACID TOPICAL; CAPSICUM; GLYCERIN TOPICAL; PROPYLENE GLYCOL; PYRILAMINE
a10675	GLYCERIN TOPICAL-PROPYLENE GLYCOL
a10678	CARBOHYDRATES; MULTIVITAMIN; PROTEIN SUPPLEMENT
a10679	CYANOCOBALAMIN; PROTEINASE; THIAMINE
a10680	AMYLASE; BELLADONNA; BUTABARBITAL; CELLULASE; PROTEINASE
a10685	PEG-150; QUATERNIUM; SODIUM LAURETH-13 CARBOX; SODIUM TRIDECETH SULFATE
a10689	ACETIC ACID TOPICAL; OXYQUINOLONE SULFATE; RICINOLEIC ACID
a10697	GINSENG; MEADOWFOAM OIL; PETROLATUM TOPICAL; SAFFLOWER OIL; SESAME OIL
a10701	MINERAL OIL; PETROLATUM TOPICAL; PHENYLEPHRINE TOPICAL; SHARK LIVER OIL
a10702	BISMUTH SUBGALLATESHARK LIVER OIL
a10703	GLYCERIN TOPICAL; PETROLATUM TOPICAL; PHENYLEPHRINE TOPICAL; SHARK LIVER OIL
a10704	BALSAM PERU TOPICAL; MINERAL OIL; SILICONE; ZINC TOPICAL AGENTS, EXTERNAL USE
a10707	SOAP-WATER
a10710	CITRIC ACID; MAGNESIUM OXIDE; SODIUM CARBONATE
a10713	ASCORBIC ACID; ERGOCALCIFEROL; PYRIDOXINE; SODIUM FLUORIDE; VITAMIN A
a10715	MULTIVITAMIN-SODIUM FLUORIDE
a10716	ERTAPENEM; SODIUM BICARBONATE; SODIUM HYDROXIDE
a10717	CITRIC ACID; SODIUM CITRATE; SODIUM ION
a10721	PHENOBARBITALSODIUM NITRATE
a10726	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE
a10729	ALLANTOIN TOPICAL; COAL TAR TOPICAL; SALICYLIC ACID TOPICAL; SQUALENE
a10730	HORSETAIL; MANGANESE SULFATE; STEARIC ACID
a10732	CORN STARCH TOPICAL; LANOLIN TOPICAL; PETROLEUM; STEARYL ALCOHOL; ZINC OXIDE TOPICAL
a10737	ETHANOL-SUCROSE
a10738	AMPICILLIN-SULBACTIN SODIUM
a10747	POLYETHYLENE GLYCOL 3350; SALICYLIC ACID TOPICAL; SURFACTANT
a10749	TALC-ZINC TOPICAL AGENTS, EXTERNAL USE
a10750	BORIC ACID TOPICAL; TALC; ZINC TOPICAL AGENTS, EXTERNAL USE
a10753	TALC-ZINC OXIDE TOPICAL
a10759	ACETAMINOPHEN; CAFFEINE; PHENYLEPHRINE; THENYLDIAMINE
a10771	ASCORBIC ACID; ERGOCALCIFEROL; RIBOFLAVIN; THIMEROSAL; VITAMIN A
a10785	CALCIUM CARBONATE; CHOLECALCIFEROL; VITAMIN K
a10787	CAMPHOR TOPICAL; MINERAL OIL; PETROLATUM TOPICAL; WAX
a10789	AMMONIUM CHLORIDE; ETHANOL; POTASSIUM GUAIACOLSULFONATE; WHITE PINE SYRUP; WILD CHERRY SYRUP
a10794	CHOLECALCIFEROL; VITAMIN A; ZINC TOPICAL AGENTS, EXTERNAL USE
a10801	BENZOCAINE TOPICAL; EPINEPHRINE TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10802	BENZOCAINE TOPICAL; CALAMINE TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10805	BENZOCAINE TOPICAL; CAMPHOR TOPICAL; MENTHOL TOPICAL; PHENOL TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10811	ETHANOL; FORMALDEHYDE TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10816	BALSAM PERU TOPICAL; BENZYL BENZOATE TOPICAL; BISMUTH RESORCIN TOPICAL; BISMUTH SUBGALLATE; ZINC TOPICAL AGENTS, EXTERNAL USE
a10818	ETHANOL; SULFUR TOPICAL; ZINC SULFATE; ZINC TOPICAL AGENTS, EXTERNAL USE
a10821	CALAMINE TOPICAL-ZINC TOPICAL AGENTS, EXTERNAL USE
a10822	CALAMINE TOPICAL; CAMPHOR TOPICAL; MENTHOL TOPICAL; PHENOL TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10826	CALAMINE TOPICAL; RESORCINOL TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10827	UNDECYLENIC ACID TOPICAL-ZINC TOPICAL AGENTS, EXTERNAL USE
a10829	BALSAM PERU TOPICAL; BENZYL BENZOATE TOPICAL; ZINC TOPICAL AGENTS, EXTERNAL USE
a10831	COAL TAR TOPICAL-ZINC TOPICAL AGENTS, EXTERNAL USE
a10834	CYANOCOBALAMIN; FOLIC ACID; VITAMIN B
a10835	VITAMIN B-VITAMIN E
a10836	ASCORBIC ACID; VITAMIN B; VITAMIN E
a10840	ASCORBIC ACID; FOLIC ACID; VITAMIN B COMPLEX; VITAMIN E; ZINC
a10842	ASCORBIC ACID; D-BIOTIN; FOLIC ACID; VITAMIN B COMPLEX
a10843	D-BIOTIN; FOLIC ACID; INOSITOL; VITAMIN B COMPLEX
a10848	ASCORBIC ACID; CALCIUM ACETATE; FOLIC ACID; VITAMIN A; VITAMIN B COMPLEX
a10849	ASCORBIC ACID; FOLIC ACID; VITAMIN B COMPLEX
a10850	CALCIUM ACETATE; FOLIC ACID; VITAMIN B COMPLEX
a10851	ASCORBIC ACID; CHOLECALCIFEROL; VITAMIN A; VITAMIN B COMPLEX; VITAMIN E
a10855	ASCORBIC ACID; CALCIUM ACETATE; CHOLECALCIFEROL; VITAMIN B COMPLEX; VITAMIN E
a10856	CYANOCOBALAMINVITAMIN B COMPLEX
a10857	ASCORBIC ACIDVITAMIN B COMPLEX
a10859	ASCORBIC ACID; LIVER DERIVATIVE COMPLEX; VITAMIN B COMPLEX
a10864	CARBOHYDRATES; FAT SUPPLEMENT, ORAL; MAGNESIUM AMINO ACIDS CHELATE; MULTIVITAMIN; PROTEIN
a10865	CARBOHYDRATES; FAT SUPPLEMENT, ORAL; MULTIVITAMIN; PROTEIN
a10866	CARBOHYDRATES; FAT SUPPLEMENT, ORAL; PROTEIN
a10867	FAT SUPPLEMENT, ORAL; IRON; LINOLEIC ACID; POTASSIUM ACETATE; PROTEIN
a10869	MULTIVITAMIN-PROTEIN
a10870	ARGININE; ASCORBIC ACID; CARBOHYDRATES; POTASSIUM CITRATE; VITAMIN E
a10871	IRON-VITAMINS
a10872	CHORIONIC GONADOTROPIN (HCG); FOLLICLE STIMULATING HORMONE; LEUTENIZING HORMONE
a10873	FOLLICLE STIMULATING HORMONE-LEUTENIZING HORMONE
a10874	CHONDROITIN; GLUCOSAMINE; HYALURONIC ACID; METHYLSULFONYLMETHANE
a10875	GLUCOSAMINE-METHYLSULFONYL-METHANE
a10876	MINERAL OIL-PETROLEUM
a10878	HYDROXYQUINOLINE TOPICAL; LANOLIN TOPICAL; PETROLEUM
a10879	PENICILLIN (OBSOLETE)-PENICILLIN G BENZATHINE
a10880	ADENOSYL-TRIPHOSPHATE-METHIONINE
a10881	DOCOSAHEXAENOIC ACID-EICOSAPENTAENOIC ACID
a10882	DOCOSAHEXAENOIC ACID; EICOSAPENTAENOIC ACID; VITAMIN E
a10884	ASPARTIC ACID; MANGANESE SULFATE; POTASSIUM ACETATE
a10888	GLYCOLIC ACID; SALICYLIC ACID TOPICAL; WITCH HAZEL TOPICAL
a10890	CLINDAMYCIN TOPICAL-METHYL PARABEN
a10893	ARGININE; GLUTAMINE; HMB
a10897	HOMATROPINE METHYL BROMIDE-HYDROCODONE
a10899	ESTRADIOL; ESTRIOL; ESTRONE
a10900	ESTRADIOL-ESTRIOL
a10903	ASCORBIC ACID; COPPER GLUCONATE; LUTEIN; VITAMIN E; ZINC
a10904	BETA-CAROTENE; BILBERRY; LUTEIN; LYCOPENE; VITAMIN E
a10906	LUTEIN; MULTIVITAMIN; ZEAXANTHIN
a10908	ACONITUM NAPELLUS; ARNICA TOPICAL; BELLADONNA; CHAMOMILE; COMFREY
a10909	ADRENALINE; TETRACAINE TOPICAL; XYLOCAINE
a10910	BUPIVACAINEXYLOCAINE
a10911	TRIAMCINOLONE-XYLOCAINE
a10912	HYALURONIDASEXYLOCAINE
